,h,T,M,Lambda_lhs,s
0,-1823.264575,1073649.46,366000,0,1.82E-05
1,-16179.53308,14276691.16,365000,-1.00E-07,0.000241878
2,-25519.96809,36883923.18,365000,-1.00E-07,0.000625051
3,-16290.40189,8145517.194,367000,2.00E-07,0.00013826
4,-7512.268957,29461056.09,368000,5.00E-07,0.00049984
5,-21618.72343,26502515.16,368000,4.00E-07,0.000449595
6,-7388.867295,5019524.34,370000,8.00E-07,8.59E-05
7,-4973.732706,6995088.114,371000,9.00E-07,0.000119461
8,-16558.89,43035817.63,371000,9.00E-07,0.000730321
9,-14762.9818,16393689.47,372000,1.10E-06,0.000278959
10,-2118.182449,239465.3217,374000,1.40E-06,5.46E-06
11,-19084.81607,8884747.515,374000,1.30E-06,0.000151889
12,-2354.583842,44515989.52,376000,1.70E-06,0.000756208
13,-378.0439506,6046369.083,377000,1.90E-06,0.000104381
14,-24113.54942,27172606.63,376000,1.60E-06,0.000462153
15,-5277.880299,42353480.68,378000,2.10E-06,0.000719956
16,-10502.92024,20063540.61,378000,2.10E-06,0.00034216
17,-5896.751619,38654894.23,380000,2.30E-06,0.000657468
18,-27151.28885,9295524.097,378000,2.10E-06,0.000159651
19,-27016.33927,25664700.48,379000,2.30E-06,0.000437295
20,-3442.410223,27488796.94,382000,2.80E-06,0.000468712
21,-3708.465278,26676057.55,383000,2.90E-06,0.000455037
22,-16682.1365,28312029.42,383000,2.90E-06,0.000482765
23,-1441.305768,15800390.49,385000,3.30E-06,0.000271103
24,-20536.64888,27326596.53,384000,3.10E-06,0.000466263
25,-20955.57177,38802900.92,385000,3.20E-06,0.000660876
26,-5127.088424,42356459.85,388000,3.60E-06,0.000721506
27,-24186.04347,28873462.96,386000,3.50E-06,0.000492881
28,-21087.70857,45389484.59,388000,3.70E-06,0.000773013
29,-2555.67048,7763830.351,390000,4.10E-06,0.00013569
30,-21041.83278,161836.4843,389000,4.00E-06,6.74E-06
31,-26025.16788,11456245.96,390000,4.00E-06,0.000198174
32,-31701.26707,13020100.53,390000,4.10E-06,0.00022478
33,-4320.075459,35186723.86,393000,4.70E-06,0.000601085
34,-12123.01198,37486391.94,394000,4.70E-06,0.000640063
35,-16333.61761,24765912.88,394000,4.80E-06,0.000424561
36,-24534.47183,46679150.69,394000,4.80E-06,0.000795972
37,-9351.652622,12339506.72,396000,5.20E-06,0.000214344
38,-3343.153006,18812813.44,398000,5.40E-06,0.000324261
39,-5987.524357,13823130.99,398000,5.50E-06,0.00023979
40,-887.3425212,1025523.703,400000,5.70E-06,2.31E-05
41,-26722.31151,35845629.69,398000,5.50E-06,0.000613053
42,-12594.56957,24938506.07,401000,5.80E-06,0.000428487
43,-26910.23056,39303155.42,400000,5.80E-06,0.000671955
44,-25706.52395,27032088.04,401000,5.90E-06,0.000464071
45,-4181.533776,16418375.38,404000,6.40E-06,0.000284678
46,-7853.517626,38124647.64,405000,6.50E-06,0.00065268
47,-30681.19934,8839842.785,403000,6.30E-06,0.000156128
48,-29604.77477,7468635.187,404000,6.50E-06,0.000133087
49,-10698.21319,811764.4039,407000,6.90E-06,2.07E-05
50,-13100.8548,25338434.92,407000,7.00E-06,0.000436465
51,-26080.70864,29493384.65,407000,7.00E-06,0.000506888
52,-1977.923026,36609745.47,410000,7.50E-06,0.000628004
53,-13670.23154,35672259.54,410000,7.50E-06,0.000612115
54,-10693.80966,33855093.14,411000,7.70E-06,0.000581515
55,-31091.51543,26310485.31,410000,7.50E-06,0.00045344
56,-22897.40186,17453460.36,412000,7.80E-06,0.000303621
57,-2703.175464,41967353.2,414000,8.20E-06,0.000719511
58,-19212.91432,7711099.23,414000,8.10E-06,0.000138797
59,-31301.40489,2921184.551,414000,8.10E-06,5.76E-05
60,-27508.56674,9793892.803,415000,8.30E-06,0.000174298
61,-27273.92347,21751065.26,416000,8.40E-06,0.000377062
62,-14802.12247,15122529.57,418000,8.90E-06,0.000265214
63,-19037.45133,5198184.578,419000,9.00E-06,9.71E-05
64,-10397.93198,42965739.9,420000,9.30E-06,0.000737533
65,-3303.101239,31715246.42,422000,9.50E-06,0.000547047
66,-19228.03738,41793835.51,421000,9.40E-06,0.00071777
67,-22321.57538,4322038.135,422000,9.50E-06,8.28E-05
68,-24038.20542,30850823.25,422000,9.60E-06,0.000532495
69,-15633.35786,3640046.592,424000,9.90E-06,7.16E-05
70,-3949.957808,28473192.66,426000,1.03E-05,0.000492896
71,-18283.7126,1583232.768,426000,1.02E-05,3.70E-05
72,-28118.68984,29794460.91,426000,1.02E-05,0.000515191
73,-3583.669718,5424604.897,429000,1.08E-05,0.000102742
74,-22353.68925,5174648.131,428000,1.06E-05,9.83E-05
75,-8730.444511,17097499.83,430000,1.10E-05,0.000300788
76,-29713.46397,9764162.047,429000,1.08E-05,0.000176294
77,-29334.34346,28732935.1,430000,1.09E-05,0.000497899
78,-2069.436112,11676405.8,434000,1.16E-05,0.000209505
79,-20656.06018,11028329.92,433000,1.14E-05,0.000198321
