,h,T,M,lambda,s
0,0,0,366000,0,0
1,319.08,0,675000,5.30E-05,5.30E-05
2,638.16,0,999000,0.0001097,0.0001097
3,957.24,0,1230000,0.0001505,0.0001505
4,1276.3,0,1360000,0.0001729,0.0001729
5,1595.4,0,1410000,0.0001834,0.0001834
6,1914.5,0,1440000,0.0001878,0.0001878
7,2233.6,0,1450000,0.0001897,0.0001897
8,2552.6,0,1450000,0.0001902,0.0001902
9,2871.7,0,1450000,0.0001907,0.0001907
10,3190.8,0,1460000,0.0001908,0.0001908
11,3509.9,0,1460000,0.0001909,0.0001909
12,3829,0,1460000,0.0001908,0.0001908
13,4148,0,1460000,0.0001908,0.0001908
14,4467.1,0,1460000,0.0001908,0.0001908
15,4786.2,0,1460000,0.0001909,0.0001909
16,5105.3,0,1460000,0.0001909,0.0001909
17,5424.4,0,1460000,0.0001909,0.0001909
18,5743.4,0,1460000,0.0001909,0.0001909
19,6062.5,0,1460000,0.0001909,0.0001909
20,6381.6,0,1460000,0.0001909,0.0001909
21,6700.7,0,1460000,0.0001909,0.0001909
22,7019.8,0,1460000,0.0001909,0.0001909
23,7338.8,0,1460000,0.0001909,0.0001909
24,7657.9,0,1460000,0.0001909,0.0001909
25,7977,0,1460000,0.0001908,0.0001908
26,8296.1,0,1460000,0.0001909,0.0001909
27,8615.2,0,1460000,0.0001909,0.0001909
28,8934.2,0,1460000,0.0001909,0.0001909
29,9253.3,0,1460000,0.0001909,0.0001909
30,9572.4,0,1460000,0.0001909,0.0001909
31,9891.5,0,1460000,0.0001909,0.0001909
32,10211,0,1460000,0.0001909,0.0001909
33,10530,0,1460000,0.0001909,0.0001909
34,10849,0,1460000,0.0001909,0.0001909
35,11168,0,1460000,0.0001909,0.0001909
36,11487,0,1460000,0.0001909,0.0001909
37,11806,0,1460000,0.0001909,0.0001909
38,12125,0,1460000,0.0001909,0.0001909
39,12444,0,1460000,0.0001909,0.0001909
40,12763,0,1460000,0.0001909,0.0001909
41,13082,0,1460000,0.0001909,0.0001909
42,13401,0,1460000,0.0001909,0.0001909
43,13720,0,1460000,0.0001909,0.0001909
44,14040,0,1460000,0.0001909,0.0001909
45,14359,0,1460000,0.0001909,0.0001909
46,14678,0,1460000,0.0001909,0.0001909
47,14997,0,1460000,0.0001909,0.0001909
48,15316,0,1460000,0.0001909,0.0001909
49,15635,0,1460000,0.0001909,0.0001909
50,15954,0,1460000,0.0001909,0.0001909
51,16273,0,1460000,0.0001909,0.0001909
52,16592,0,1460000,0.0001909,0.0001909
53,16911,0,1460000,0.0001909,0.0001909
54,17230,0,1460000,0.0001909,0.0001909
55,17549,0,1460000,0.0001909,0.0001909
56,17868,0,1460000,0.0001909,0.0001909
57,18188,0,1460000,0.0001909,0.0001909
58,18507,0,1460000,0.0001909,0.0001909
59,18826,0,1460000,0.0001909,0.0001909
60,19145,0,1460000,0.0001909,0.0001909
61,19464,0,1460000,0.0001909,0.0001909
62,19783,0,1460000,0.0001909,0.0001909
63,20102,0,1460000,0.0001909,0.0001909
64,20421,0,1460000,0.0001909,0.0001909
65,20740,0,1460000,0.0001909,0.0001909
66,21059,0,1460000,0.0001909,0.0001909
67,21378,0,1460000,0.0001909,0.0001909
68,21697,0,1460000,0.0001909,0.0001909
69,22017,0,1460000,0.0001909,0.0001909
70,22336,0,1460000,0.0001909,0.0001909
71,22655,0,1460000,0.0001909,0.0001909
72,22974,0,1460000,0.0001909,0.0001909
73,23293,0,1460000,0.0001909,0.0001909
74,23612,0,1460000,0.0001909,0.0001909
75,23931,0,1460000,0.0001909,0.0001909
76,24250,0,1460000,0.0001909,0.0001909
77,24569,0,1460000,0.0001909,0.0001909
78,24888,0,1460000,0.0001909,0.0001909
79,25207,0,1460000,0.0001909,0.0001909
80,25526,0,1460000,0.0001909,0.0001909
81,25845,0,1460000,0.0001909,0.0001909
82,26165,0,1460000,0.0001909,0.0001909
83,26484,0,1460000,0.000191,0.000191
84,26803,0,1460000,0.000191,0.000191
85,27122,0,1460000,0.000191,0.000191
86,27441,0,1460000,0.000191,0.000191
87,27760,0,1460000,0.000191,0.000191
88,28079,0,1460000,0.000191,0.000191
89,28398,0,1460000,0.0001909,0.0001909
90,28717,0,1460000,0.0001909,0.0001909
91,29036,0,1460000,0.0001909,0.0001909
92,29355,0,1460000,0.0001909,0.0001909
93,29674,0,1460000,0.0001909,0.0001909
94,29994,0,1460000,0.0001909,0.0001909
95,30313,0,1460000,0.0001909,0.0001909
96,30632,0,1460000,0.0001909,0.0001909
97,30951,0,1460000,0.0001909,0.0001909
98,31270,0,1460000,0.0001909,0.0001909
99,31589,0,1460000,0.0001909,0.0001909
100,0,-960000,270000,4.70E-05,3.07E-05
101,319.08,-960000,539000,9.29E-05,7.66E-05
102,638.16,-960000,870000,0.0001505,0.000134229
103,957.24,-960000,1150000,0.0001995,0.000183229
104,1276.3,-960000,1310000,0.0002292,0.000212929
105,1595.4,-960000,1400000,0.0002437,0.000227429
106,1914.5,-960000,1430000,0.0002502,0.000233929
107,2233.6,-960000,1450000,0.0002529,0.000236629
108,2552.6,-960000,1450000,0.000254,0.000237729
109,2871.7,-960000,1450000,0.0002545,0.000238229
110,3190.8,-960000,1460000,0.0002547,0.000238429
111,3509.9,-960000,1460000,0.0002548,0.000238529
112,3829,-960000,1460000,0.0002548,0.000238529
113,4148,-960000,1460000,0.0002548,0.000238529
114,4467.1,-960000,1460000,0.0002549,0.000238629
115,4786.2,-960000,1460000,0.0002549,0.000238629
116,5105.3,-960000,1460000,0.0002549,0.000238629
117,5424.4,-960000,1460000,0.0002549,0.000238629
118,5743.4,-960000,1460000,0.0002549,0.000238629
119,6062.5,-960000,1460000,0.0002548,0.000238529
120,6381.6,-960000,1460000,0.0002549,0.000238629
121,6700.7,-960000,1460000,0.0002549,0.000238629
122,7019.8,-960000,1460000,0.0002549,0.000238629
123,7338.8,-960000,1460000,0.0002549,0.000238629
124,7657.9,-960000,1460000,0.0002549,0.000238629
125,7977,-960000,1460000,0.0002549,0.000238629
126,8296.1,-960000,1460000,0.0002549,0.000238629
127,8615.2,-960000,1460000,0.0002549,0.000238629
128,8934.2,-960000,1460000,0.0002549,0.000238629
129,9253.3,-960000,1460000,0.0002549,0.000238629
130,9572.4,-960000,1460000,0.0002549,0.000238629
131,9891.5,-960000,1460000,0.0002549,0.000238629
132,10211,-960000,1460000,0.0002549,0.000238629
133,10530,-960000,1460000,0.0002549,0.000238629
134,10849,-960000,1460000,0.0002549,0.000238629
135,11168,-960000,1460000,0.0002549,0.000238629
136,11487,-960000,1460000,0.0002549,0.000238629
137,11806,-960000,1460000,0.0002549,0.000238629
138,12125,-960000,1460000,0.0002549,0.000238629
139,12444,-960000,1460000,0.0002549,0.000238629
140,12763,-960000,1460000,0.0002549,0.000238629
141,13082,-960000,1460000,0.0002549,0.000238629
142,13401,-960000,1460000,0.0002549,0.000238629
143,13720,-960000,1460000,0.0002549,0.000238629
144,14040,-960000,1460000,0.0002549,0.000238629
145,14359,-960000,1460000,0.0002549,0.000238629
146,14678,-960000,1460000,0.0002549,0.000238629
147,14997,-960000,1460000,0.0002549,0.000238629
148,15316,-960000,1460000,0.0002549,0.000238629
149,15635,-960000,1460000,0.0002549,0.000238629
150,15954,-960000,1460000,0.0002549,0.000238629
151,16273,-960000,1460000,0.0002549,0.000238629
152,16592,-960000,1460000,0.0002549,0.000238629
153,16911,-960000,1460000,0.0002549,0.000238629
154,17230,-960000,1460000,0.0002549,0.000238629
155,17549,-960000,1460000,0.0002549,0.000238629
156,17868,-960000,1460000,0.0002549,0.000238629
157,18188,-960000,1460000,0.0002549,0.000238629
158,18507,-960000,1460000,0.0002549,0.000238629
159,18826,-960000,1460000,0.0002549,0.000238629
160,19145,-960000,1460000,0.0002549,0.000238629
161,19464,-960000,1460000,0.0002549,0.000238629
162,19783,-960000,1460000,0.0002549,0.000238629
163,20102,-960000,1460000,0.0002549,0.000238629
164,20421,-960000,1460000,0.0002549,0.000238629
165,20740,-960000,1460000,0.0002549,0.000238629
166,21059,-960000,1460000,0.0002549,0.000238629
167,21378,-960000,1460000,0.0002549,0.000238629
168,21697,-960000,1460000,0.0002549,0.000238629
169,22017,-960000,1460000,0.0002549,0.000238629
170,22336,-960000,1460000,0.0002549,0.000238629
171,22655,-960000,1460000,0.0002549,0.000238629
172,22974,-960000,1460000,0.0002549,0.000238629
173,23293,-960000,1460000,0.0002549,0.000238629
174,23612,-960000,1460000,0.0002549,0.000238629
175,23931,-960000,1460000,0.0002549,0.000238629
176,24250,-960000,1460000,0.0002549,0.000238629
177,24569,-960000,1460000,0.0002549,0.000238629
178,24888,-960000,1460000,0.0002549,0.000238629
179,25207,-960000,1460000,0.0002549,0.000238629
180,25526,-960000,1460000,0.0002549,0.000238629
181,25845,-960000,1460000,0.000255,0.000238729
182,26165,-960000,1460000,0.000255,0.000238729
183,26484,-960000,1460000,0.000255,0.000238729
184,26803,-960000,1460000,0.000255,0.000238729
185,27122,-960000,1460000,0.000255,0.000238729
186,27441,-960000,1460000,0.0002549,0.000238629
187,27760,-960000,1460000,0.0002549,0.000238629
188,28079,-960000,1460000,0.0002549,0.000238629
189,28398,-960000,1460000,0.0002549,0.000238629
190,28717,-960000,1460000,0.0002549,0.000238629
191,29036,-960000,1460000,0.0002549,0.000238629
192,29355,-960000,1460000,0.0002549,0.000238629
193,29674,-960000,1460000,0.0002549,0.000238629
194,29994,-960000,1460000,0.0002549,0.000238629
195,30313,-960000,1460000,0.0002549,0.000238629
196,30632,-960000,1460000,0.0002549,0.000238629
197,30951,-960000,1460000,0.0002549,0.000238629
198,31270,-960000,1460000,0.000255,0.000238729
199,31589,-960000,1460000,0.0002549,0.000238629
200,0,-1920000,194000,3.38E-05,1.26E-06
201,319.08,-1920000,416000,7.12E-05,3.87E-05
202,638.16,-1920000,731000,0.0001259,9.34E-05
203,957.24,-1920000,1040000,0.0001807,0.000148158
204,1276.3,-1920000,1260000,0.0002186,0.000186058
205,1595.4,-1920000,1370000,0.0002388,0.000206258
206,1914.5,-1920000,1420000,0.000248,0.000215458
207,2233.6,-1920000,1440000,0.0002519,0.000219358
208,2552.6,-1920000,1450000,0.0002536,0.000221058
209,2871.7,-1920000,1450000,0.0002543,0.000221758
210,3190.8,-1920000,1450000,0.0002547,0.000222158
211,3509.9,-1920000,1460000,0.0002548,0.000222258
212,3829,-1920000,1460000,0.0002549,0.000222358
213,4148,-1920000,1460000,0.0002548,0.000222258
214,4467.1,-1920000,1460000,0.0002548,0.000222258
215,4786.2,-1920000,1460000,0.0002549,0.000222358
216,5105.3,-1920000,1460000,0.0002549,0.000222358
217,5424.4,-1920000,1460000,0.0002549,0.000222358
218,5743.4,-1920000,1460000,0.0002549,0.000222358
219,6062.5,-1920000,1460000,0.0002549,0.000222358
220,6381.6,-1920000,1460000,0.0002548,0.000222258
221,6700.7,-1920000,1460000,0.0002549,0.000222358
222,7019.8,-1920000,1460000,0.0002549,0.000222358
223,7338.8,-1920000,1460000,0.0002549,0.000222358
224,7657.9,-1920000,1460000,0.0002549,0.000222358
225,7977,-1920000,1460000,0.0002549,0.000222358
226,8296.1,-1920000,1460000,0.0002549,0.000222358
227,8615.2,-1920000,1460000,0.0002549,0.000222358
228,8934.2,-1920000,1460000,0.0002549,0.000222358
229,9253.3,-1920000,1460000,0.0002549,0.000222358
230,9572.4,-1920000,1460000,0.0002549,0.000222358
231,9891.5,-1920000,1460000,0.0002549,0.000222358
232,10211,-1920000,1460000,0.0002549,0.000222358
233,10530,-1920000,1460000,0.0002549,0.000222358
234,10849,-1920000,1460000,0.0002549,0.000222358
235,11168,-1920000,1460000,0.0002549,0.000222358
236,11487,-1920000,1460000,0.0002549,0.000222358
237,11806,-1920000,1460000,0.0002549,0.000222358
238,12125,-1920000,1460000,0.0002549,0.000222358
239,12444,-1920000,1460000,0.0002549,0.000222358
240,12763,-1920000,1460000,0.0002549,0.000222358
241,13082,-1920000,1460000,0.0002549,0.000222358
242,13401,-1920000,1460000,0.0002549,0.000222358
243,13720,-1920000,1460000,0.0002549,0.000222358
244,14040,-1920000,1460000,0.0002549,0.000222358
245,14359,-1920000,1460000,0.0002549,0.000222358
246,14678,-1920000,1460000,0.0002549,0.000222358
247,14997,-1920000,1460000,0.0002549,0.000222358
248,15316,-1920000,1460000,0.0002549,0.000222358
249,15635,-1920000,1460000,0.0002549,0.000222358
250,15954,-1920000,1460000,0.0002549,0.000222358
251,16273,-1920000,1460000,0.0002549,0.000222358
252,16592,-1920000,1460000,0.0002549,0.000222358
253,16911,-1920000,1460000,0.000255,0.000222458
254,17230,-1920000,1460000,0.0002549,0.000222358
255,17549,-1920000,1460000,0.0002549,0.000222358
256,17868,-1920000,1460000,0.0002549,0.000222358
257,18188,-1920000,1460000,0.000255,0.000222458
258,18507,-1920000,1460000,0.000255,0.000222458
259,18826,-1920000,1460000,0.0002549,0.000222358
260,19145,-1920000,1460000,0.0002549,0.000222358
261,19464,-1920000,1460000,0.0002549,0.000222358
262,19783,-1920000,1460000,0.0002549,0.000222358
263,20102,-1920000,1460000,0.0002549,0.000222358
264,20421,-1920000,1460000,0.0002549,0.000222358
265,20740,-1920000,1460000,0.0002549,0.000222358
266,21059,-1920000,1460000,0.0002549,0.000222358
267,21378,-1920000,1460000,0.0002549,0.000222358
268,21697,-1920000,1460000,0.0002549,0.000222358
269,22017,-1920000,1460000,0.0002549,0.000222358
270,22336,-1920000,1460000,0.0002549,0.000222358
271,22655,-1920000,1460000,0.0002549,0.000222358
272,22974,-1920000,1460000,0.0002549,0.000222358
273,23293,-1920000,1460000,0.0002549,0.000222358
274,23612,-1920000,1460000,0.0002549,0.000222358
275,23931,-1920000,1460000,0.0002549,0.000222358
276,24250,-1920000,1460000,0.0002549,0.000222358
277,24569,-1920000,1460000,0.0002549,0.000222358
278,24888,-1920000,1460000,0.0002549,0.000222358
279,25207,-1920000,1460000,0.0002549,0.000222358
280,25526,-1920000,1460000,0.0002549,0.000222358
281,25845,-1920000,1460000,0.000255,0.000222458
282,26165,-1920000,1460000,0.0002549,0.000222358
283,26484,-1920000,1460000,0.000255,0.000222458
284,26803,-1920000,1460000,0.000255,0.000222458
285,27122,-1920000,1460000,0.000255,0.000222458
286,27441,-1920000,1460000,0.000255,0.000222458
287,27760,-1920000,1460000,0.0002549,0.000222358
288,28079,-1920000,1460000,0.0002549,0.000222358
289,28398,-1920000,1460000,0.0002549,0.000222358
290,28717,-1920000,1460000,0.0002549,0.000222358
291,29036,-1920000,1460000,0.0002549,0.000222358
292,29355,-1920000,1460000,0.0002549,0.000222358
293,29674,-1920000,1460000,0.0002549,0.000222358
294,29994,-1920000,1460000,0.0002549,0.000222358
295,30313,-1920000,1460000,0.0002549,0.000222358
296,30632,-1920000,1460000,0.0002549,0.000222358
297,30951,-1920000,1460000,0.0002549,0.000222358
298,31270,-1920000,1460000,0.000255,0.000222458
299,31589,-1920000,1460000,0.000255,0.000222458
300,0,-2880000,137000,2.40E-05,-2.48E-05
301,319.08,-2880000,313000,5.30E-05,4.19E-06
302,638.16,-2880000,593000,0.0001013,5.25E-05
303,957.24,-2880000,920000,0.0001586,0.000109786
304,1276.3,-2880000,1180000,0.0002047,0.000155886
305,1595.4,-2880000,1330000,0.0002318,0.000182986
306,1914.5,-2880000,1400000,0.0002448,0.000195986
307,2233.6,-2880000,1430000,0.0002506,0.000201786
308,2552.6,-2880000,1450000,0.000253,0.000204186
309,2871.7,-2880000,1450000,0.0002541,0.000205286
310,3190.8,-2880000,1450000,0.0002545,0.000205686
311,3509.9,-2880000,1460000,0.0002547,0.000205886
312,3829,-2880000,1460000,0.0002548,0.000205986
313,4148,-2880000,1460000,0.0002549,0.000206086
314,4467.1,-2880000,1460000,0.0002548,0.000205986
315,4786.2,-2880000,1460000,0.0002548,0.000205986
316,5105.3,-2880000,1460000,0.0002549,0.000206086
317,5424.4,-2880000,1460000,0.0002549,0.000206086
318,5743.4,-2880000,1460000,0.0002549,0.000206086
319,6062.5,-2880000,1460000,0.0002549,0.000206086
320,6381.6,-2880000,1460000,0.0002549,0.000206086
321,6700.7,-2880000,1460000,0.0002548,0.000205986
322,7019.8,-2880000,1460000,0.0002549,0.000206086
323,7338.8,-2880000,1460000,0.0002549,0.000206086
324,7657.9,-2880000,1460000,0.0002549,0.000206086
325,7977,-2880000,1460000,0.0002549,0.000206086
326,8296.1,-2880000,1460000,0.0002549,0.000206086
327,8615.2,-2880000,1460000,0.0002549,0.000206086
328,8934.2,-2880000,1460000,0.0002549,0.000206086
329,9253.3,-2880000,1460000,0.0002549,0.000206086
330,9572.4,-2880000,1460000,0.0002549,0.000206086
331,9891.5,-2880000,1460000,0.0002549,0.000206086
332,10211,-2880000,1460000,0.0002549,0.000206086
333,10530,-2880000,1460000,0.0002549,0.000206086
334,10849,-2880000,1460000,0.0002549,0.000206086
335,11168,-2880000,1460000,0.0002549,0.000206086
336,11487,-2880000,1460000,0.0002549,0.000206086
337,11806,-2880000,1460000,0.0002549,0.000206086
338,12125,-2880000,1460000,0.0002549,0.000206086
339,12444,-2880000,1460000,0.0002549,0.000206086
340,12763,-2880000,1460000,0.0002549,0.000206086
341,13082,-2880000,1460000,0.0002549,0.000206086
342,13401,-2880000,1460000,0.0002549,0.000206086
343,13720,-2880000,1460000,0.0002549,0.000206086
344,14040,-2880000,1460000,0.0002549,0.000206086
345,14359,-2880000,1460000,0.0002549,0.000206086
346,14678,-2880000,1460000,0.0002549,0.000206086
347,14997,-2880000,1460000,0.0002549,0.000206086
348,15316,-2880000,1460000,0.0002549,0.000206086
349,15635,-2880000,1460000,0.0002549,0.000206086
350,15954,-2880000,1460000,0.0002549,0.000206086
351,16273,-2880000,1460000,0.0002549,0.000206086
352,16592,-2880000,1460000,0.0002549,0.000206086
353,16911,-2880000,1460000,0.0002549,0.000206086
354,17230,-2880000,1460000,0.0002549,0.000206086
355,17549,-2880000,1460000,0.0002549,0.000206086
356,17868,-2880000,1460000,0.000255,0.000206186
357,18188,-2880000,1460000,0.000255,0.000206186
358,18507,-2880000,1460000,0.0002549,0.000206086
359,18826,-2880000,1460000,0.0002549,0.000206086
360,19145,-2880000,1460000,0.0002549,0.000206086
361,19464,-2880000,1460000,0.0002549,0.000206086
362,19783,-2880000,1460000,0.0002549,0.000206086
363,20102,-2880000,1460000,0.0002549,0.000206086
364,20421,-2880000,1460000,0.0002549,0.000206086
365,20740,-2880000,1460000,0.0002549,0.000206086
366,21059,-2880000,1460000,0.0002549,0.000206086
367,21378,-2880000,1460000,0.0002549,0.000206086
368,21697,-2880000,1460000,0.0002549,0.000206086
369,22017,-2880000,1460000,0.0002549,0.000206086
370,22336,-2880000,1460000,0.0002549,0.000206086
371,22655,-2880000,1460000,0.0002549,0.000206086
372,22974,-2880000,1460000,0.0002549,0.000206086
373,23293,-2880000,1460000,0.0002549,0.000206086
